Comment,Designator,Footprint,LCSC
"SS3150_SMB","D1,D2,D3","0Library:SMB_L4.6-W3.6-LS5.3-R-RD","C47124"
"DC-044K-D025","DC1","0Library:DC-IN-TH_DC-044K-D025","C963204"
"MountingHole","H1,H2,H3,H4,H5,H6,H7,H8,H11,H12,H13,H14","MountingHole:MountingHole_3.2mm_M3_Pad",""
"MountingHole","H15,H16,H17,H18,H22,H23,H24,H25,H26,H27,H28,H29","MountingHole:MountingHole_2.2mm_M2_Pad",""
"MountingHole","H19,H20,H21","MountingHole:MountingHole_2.7mm_M2.5_Pad",""
"MountingHole_Pad","H30,H31,H32,H33,H34,H35,H36,H37,H38,H39,H40","MountingHole:MountingHole_5.3mm_M5_Pad",""
"MountingHole_Pad","H41","MountingHole:MountingHole_6.5mm_Pad",""
"MountingHole","H9,H10","MountingHole:MountingHole_2.7mm_Pad",""
"HDMI_A_1.4","J1,J2,J3,J4,J5,J6,J7,J8,J9","0Library:HDMI-TH_HYC12-HDMIA19-61","C711354"
"JST_SH_Conn_01x04_UART 1","J10","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_MUX 1","J11","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_UART 0","J12","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_MUX 0","J13","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"Conn_01x07_Female","J14,J15,J55,J57,J58,J59","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","C2897370"
"JST_SH_Conn_01x04_D HEad","J16","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_3Head B","J17","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_3Head A","J18","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_4Head B","J19","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_Still","J20","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_4Head A","J21","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_4Pump Diode B","J22","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_4Pump Diode A","J23","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_3Pump Diode B","J24","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_3Pump Diode A","J25","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_4Switch Diode B","J26","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_Condenser","J27","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_4Switch Diode A","J28","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"JST_SH_Conn_01x04_3Switch Diode B","J29","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"Conn_01x02_Still Heater","J30","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"JST_SH_Conn_01x04_3Switch Diode A","J31","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"Conn_01x02_15 pin Extra","J32","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_4SwitchHeater B","J33","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_4SwitchHeater A","J34","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_3SwitchHeater B","J35","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_3SwitchHeater A","J36","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_4PumpHeater B","J38","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_4PumpHeater A","J39","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_3PumpHeater B","J40","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_3PumpHeater A","J41","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_Extra B","J43,J45","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_Extra A","J44,J46","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x02_Lockin 5V","J47,J67","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"Conn_01x03","J48,J61","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"JST_SH_Conn_01x04_4K Diode","J42,J49","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"Conn_01x02_Female_HP1","J50","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","C49661"
"Conn_01x02_Female_HP2","J51","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","C49661"
"Conn_01x02_Female_HP3","J52","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","C49661"
"Conn_01x04","J53","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical",""
"JST_SH_Conn_01x04_40K Diode","J37,J54","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"Conn_01x05_Female_LPH","J56","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","C50950"
"Conn_01x02_Female_HP4","J60","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","C49661"
"JST_SH_Conn_01x04","J62,J63,J64,J65,J66","Connector_JST:JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical","C160390"
"Conn_01x02_HP_5V","J68","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","C2683610"
"4.7K","R1,R2","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","C99782"
"TYPE-604-T3","USB1","0Library:USB-C-TH_TYPE-604-T3","C2689839"
"U-USBAS04P-F000","USB2","0Library:USB-A-TH_U-A-24DD-Y-2",""